School.Name,School.Type,Region,Is.Party,STABBR,CONTROL,Tier,COSTT4_A,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,SD_EARN_WNE_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MD_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,BE_MN_P6,BE_MD_P6,BE_MN_P10,BE_MD_P10,ROI_MN_P6,ROI_MD_P6,ROI_MN_P10,ROI_MD_P10
University of California-San Diego,State,California,FALSE,CA,Public,Highly selective public,30092,48200,43400,26200,62500,36900,NA,NA,50000,43400,53100,52100,69600,59900,38800,88500,52900,53000,44400,68300,63900,76200,0.4994522821576764,0.5546912442396313,0.3458850574712644,0.4018964941569283,60.17546191678852,44.22437857237804,131.29070849395188,99.05622756878904
University of California-Santa Barbara,State,California,TRUE,CA,Public,Highly selective public,33826,42800,39000,22900,56300,29300,75500,73900,44600,40400,45700,46800,62400,55300,34000,79800,50700,95000,96300,68200,56300,70600,0.6322616822429907,0.6938666666666666,0.4336666666666667,0.48934538878842676,26.52988825164075,15.295926210607224,84.47348193697157,63.4837107550405
University of California-Santa Cruz,State,California,FALSE,CA,Public,Selective public,33036,38400,33800,19400,50200,28500,29500,30100,39300,35600,41700,40700,53800,46900,27700,68100,42700,37100,38100,55900,49000,59400,0.68825,0.7819171597633137,0.4912416356877324,0.5635138592750533,16.236832546313114,2.3126286475360214,62.852645598740764,41.96633975057513
Colorado College,Liberal Arts,Western,FALSE,CO,Private nonprofit,Highly selective private,57400,35900,34000,17300,49100,25800,47800,46500,37800,32900,40000,40600,49900,45400,27100,61600,40300,61700,64900,52900,45900,56000,1.2791086350974932,1.3505882352941176,0.9202404809619239,1.0114537444933922,-37.45644599303136,-40.76655052264808,-13.066202090592336,-20.905923344947734
Colorado School of Mines,Engineering,Western,FALSE,CO,Public,Highly selective public,30154,74700,69200,51100,92000,40000,44000,42500,74900,68900,76400,72200,95600,84900,55800,118300,64800,67400,56600,95300,89600,97100,0.3229344042838019,0.3486011560693642,0.25233472803347284,0.2841366313309776,147.7283279166943,129.4886250580354,217.03919877959805,181.5546859454799
Fort Lewis College,Liberal Arts,Western,FALSE,CO,Public,Selective public,21691,30500,28100,16600,39000,20800,67800,65900,31900,28200,32600,30500,39400,35200,20700,50800,28900,123400,126400,42900,35000,43600,0.568944262295082,0.6175373665480427,0.44042639593908633,0.49297727272727276,40.611313447973814,29.546816652067676,81.6421557327924,62.27928633995666
University of Connecticut,State,Northeastern,FALSE,CT,Public,Highly selective public,26966,49800,46400,29400,64500,40400,40200,43400,52000,46800,53000,52700,66000,58400,39900,82500,49200,56200,58200,67600,59300,73700,0.43318875502008036,0.46493103448275863,0.3268606060606061,0.3693972602739726,84.67700066750723,72.06853074241639,144.7526514870578,116.56901283097234
Wesleyan University,Liberal Arts,Northeastern,FALSE,CT,Private nonprofit,Other elite schools (public and private),62849,46400,42100,22900,55500,44000,37300,40000,48800,39600,52900,46400,63400,54700,33000,76400,49800,46200,49200,65100,57000,70900,1.083603448275862,1.1942802850356296,0.7930473186119874,0.9191809872029251,-26.17225413292176,-33.01404954732772,0.8767044821715541,-12.965997867905616
Yale University,Ivy League,Northeastern,FALSE,CT,Private nonprofit,Ivy Plus,61620,67800,56600,32400,88200,53400,39100,39200,69600,64900,70500,72400,124400,83200,52200,153300,136200,54700,52200,124100,100200,148300,0.7270796460176991,0.8709540636042403,0.3962700964630225,0.5925,10.029211295034079,-8.146705615060046,101.88250567997403,35.0210970464135
University of Delaware,State,Southern,FALSE,DE,Public,Selective public,23357,48100,46700,31000,63600,25000,47300,46800,50500,46400,50300,52700,64000,57000,39400,80900,42700,63400,65200,67900,59200,70700,0.3884740124740125,0.40011991434689514,0.2919625,0.3278175438596491,105.93398124759173,99.94006079547887,174.00779209658774,144.03818983602346
Florida Atlantic University,State,Southern,FALSE,FL,Public,Selective public,19310,38800,36200,22500,49400,29300,37300,38900,40000,37400,40800,40500,48300,43200,27500,61500,33800,45600,49400,51300,45200,53700,0.39814432989690723,0.4267403314917127,0.31983436853002073,0.35759259259259263,100.93215950284826,87.46763335059555,150.1294665976178,123.71828068358364
Florida State University,State,Southern,TRUE,FL,Public,Selective public,21408,39700,36500,23600,50100,32300,47300,43200,40400,37200,42600,42300,53900,46400,30900,67400,44500,57000,57700,54800,48700,60900,0.4313954659949622,0.4692164383561644,0.3177439703153989,0.3691034482758621,85.44469357249626,70.49701046337817,151.77503736920778,116.74140508221225
University of Florida,State,Southern,TRUE,FL,Public,Highly selective public,20085,47700,42600,26800,62000,37000,33700,36000,49000,43400,52900,48100,65700,56000,36600,84100,53000,39700,45600,68500,60300,72400,0.3368553459119497,0.3771830985915493,0.2445662100456621,0.2869285714285714,137.4906646751307,112.09858103061987,227.10978342046303,178.8150360965895
Georgia State University,State,Southern,FALSE,GA,Public,Selective public,24377,38100,35200,20900,50700,24900,32100,36500,38400,36000,41600,39400,48200,43300,26000,62700,34000,42500,43800,50200,44100,54700,0.5118530183727035,0.5540227272727273,0.40459751037344405,0.45038337182448035,56.29486811338557,44.398408335726295,97.72736595971612,77.6264511629815
University of Georgia,State,Southern,TRUE,GA,Public,Highly selective public,21981,45200,39900,25800,55600,48000,34100,35400,45300,40000,52200,46000,59100,50500,32800,74200,49900,43900,46200,60900,52900,67000,0.3890442477876106,0.44072180451127824,0.2975431472081218,0.34821386138613863,105.63213684545745,81.52040398525999,168.86856830899413,129.74386970565487
Boise State University,State,Western,FALSE,ID,Public,Selective public,18651,35600,31000,18600,45900,33800,67100,58000,37900,31600,39700,34000,43100,37100,22400,55800,36400,93800,69300,46100,35700,51300,0.419123595505618,0.48131612903225807,0.3461902552204177,0.40217789757412403,90.87448394187979,66.21092702804138,131.0868049970511,98.91694815291405
Idaho State University,State,Western,FALSE,ID,Public,Selective public,19089,34900,30700,16700,48000,25600,40700,40200,38300,28700,41500,33100,43900,35700,20100,59200,38400,47000,50800,47700,32700,54700,0.43757020057306595,0.4974332247557003,0.3478633257403189,0.42776470588235294,82.82780659018283,60.82560637016082,129.97537849022999,87.01870187018702
University of Idaho,State,Western,FALSE,ID,Public,Selective public,19381,35500,31800,19900,46000,25700,36100,38600,36700,31200,39200,37400,47000,41900,26600,61300,32200,46300,49100,50600,39100,53100,0.4367549295774648,0.48757232704402514,0.3298893617021277,0.37004295942720766,83.16908312264589,64.07822093803209,142.5055466694185,116.19111500954543
Illinois Institute of Technology,Engineering,Midwestern,FALSE,IL,Private nonprofit,Highly selective private,51572,60400,55800,39000,74800,37300,32900,35100,56200,60400,60400,63300,78000,69100,44000,91900,64100,40300,43200,72400,69500,81600,0.6830728476821193,0.739383512544803,0.5289435897435898,0.5970709117221419,17.117815869076242,8.198247110835338,51.24486155278058,33.987435042271
Illinois State University,State,Midwestern,FALSE,IL,Public,Selective public,26259,41600,39600,28800,52400,21400,46400,38100,42500,38700,45100,43200,51600,47100,33600,64700,31600,54400,56800,53600,46000,58700,0.5049807692307693,0.5304848484848484,0.4071162790697675,0.4460127388535032,58.42187440496591,50.8054381354964,96.50405575231349,79.36707414600708
Northern Illinois University,State,Midwestern,FALSE,IL,Public,Selective public,27959,39400,36800,23300,52000,24500,NA,NA,42000,35500,43500,41800,49800,45500,29500,65300,31400,NA,NA,52300,42300,57600,0.5676954314720812,0.6078043478260869,0.44914056224899596,0.49158681318681324,40.92063378518545,31.621302621696056,78.11795843914304,62.73829536106441
Ball State University,State,Midwestern,FALSE,IN,Public,Selective public,21807,35300,34000,23000,44700,19200,40700,43700,36200,33500,37400,37300,44600,41100,27700,56500,28200,53500,54900,46900,39500,50700,0.49420963172804533,0.5131058823529412,0.3911569506726458,0.42446715328467155,61.87462741321595,55.91323886825331,104.52148392717935,88.4715916907415
DePauw University,Liberal Arts,Midwestern,FALSE,IN,Private nonprofit,Selective private,53410,43900,40400,25700,55500,27400,53800,45500,45800,40700,47500,48300,66100,54000,37100,78200,53000,67300,58700,72100,56300,77800,0.9733029612756264,1.0576237623762377,0.6464145234493193,0.7912592592592593,-17.80565437184048,-24.358734319415838,23.759595581351807,1.1046620483055607
Grinnell College,Liberal Arts,Midwestern,FALSE,IA,Private nonprofit,Highly selective private,56354,36700,32800,17900,49600,26100,35400,37800,38800,33300,41400,40900,61000,49100,32800,77200,53700,40700,44300,63000,55000,67200,1.2284250681198912,1.374487804878049,0.7390688524590164,0.9181914460285132,-34.87596266458459,-41.7965006920538,8.244312737338964,-12.872200731092734
Iowa State University,State,Midwestern,FALSE,IA,Public,Selective public,18828,44000,41200,28700,56300,26100,38900,40100,45300,37900,48800,45300,56000,50700,35100,72500,34000,50300,49000,57600,46600,63400,0.34232727272727276,0.3655922330097088,0.2689714285714286,0.29708875739644974,133.69449755683024,118.82302953048651,197.4293605268749,169.2797960484385
University of Iowa,State,Midwestern,TRUE,IA,Public,Selective public,20691,47700,42200,29100,58700,38600,47700,45200,46200,44300,51100,47000,62000,51900,35800,73700,53400,62800,57800,61400,55600,69200,0.3470188679245283,0.3922464454976304,0.26698064516129033,0.3189364161849711,130.53501522401044,103.95340969503648,199.6471895993427,150.83369580977237
Pittsburg State University,State,Midwestern,FALSE,KS,Public,Selective public,15931,37900,34900,23500,48300,21500,28000,30500,40200,33400,41600,38100,44400,39400,26000,56300,30100,33000,37200,48400,37400,51500,0.33627440633245387,0.3651805157593124,0.2870450450450451,0.32347208121827414,137.90094783754944,119.06973824618667,178.70190195216873,147.3165526332308
Kansas State University,State,Midwestern,FALSE,KS,Public,Selective public,20722,41400,38400,25400,53400,27000,49200,42000,43400,36300,46200,42100,51900,45600,31200,66400,37100,53700,52600,54700,43700,59300,0.40042512077294684,0.43170833333333336,0.3194142581888247,0.36354385964912284,99.78766528327382,85.31029823376122,150.4584499565679,120.05597915259145
University of Kansas,State,Midwestern,FALSE,KS,Public,Selective public,23049,45100,39200,26100,55100,45500,34400,37400,44000,42900,47500,44600,59300,48800,32100,71000,55100,43900,44200,58700,53900,65200,0.4088514412416852,0.47038775510204084,0.31094772344013494,0.37785245901639347,95.6700941472515,70.07245433641373,157.27797301401364,111.72285131675994
Morehead State University,State,Southern,FALSE,KY,Public,Selective public,18191,30000,27200,16100,39000,28500,NA,NA,32400,27100,33700,30400,37000,33100,20100,47500,28800,NA,NA,44800,32300,42800,0.4850933333333334,0.535029411764706,0.39331891891891896,0.43966163141993964,64.91671705788576,49.524490132483095,103.39728437139244,81.95811115386729
University of Kentucky,State,Southern,FALSE,KY,Public,Selective public,23162,43500,36900,24000,53800,45600,NA,NA,40700,40200,46700,43500,54000,45100,29300,68200,45000,NA,NA,55300,48500,59900,0.425967816091954,0.5021571815718157,0.34314074074074075,0.4108558758314856,87.8076159226319,59.31266729988774,133.14048873154306,94.71548225541837
