School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P10
University of Idaho,Middle Income Tercile,46200
Illinois Institute of Technology,Middle Income Tercile,69300
Illinois State University,Middle Income Tercile,50800
Northern Illinois University,Middle Income Tercile,49100
Ball State University,Middle Income Tercile,43200
DePauw University,Middle Income Tercile,56800
Grinnell College,Middle Income Tercile,NA
Iowa State University,Middle Income Tercile,54900
University of Iowa,Middle Income Tercile,58700
Pittsburg State University,Middle Income Tercile,44300
Kansas State University,Middle Income Tercile,49000
University of Kansas,Middle Income Tercile,57800
Morehead State University,Middle Income Tercile,37200
University of Kentucky,Middle Income Tercile,52600
University of Louisiana at Lafayette,Middle Income Tercile,44200
Bates College,Middle Income Tercile,NA
Bowdoin College,Middle Income Tercile,NA
Colby College,Middle Income Tercile,NA
Amherst College,Middle Income Tercile,NA
College of the Holy Cross,Middle Income Tercile,NA
Massachusetts Institute of Technology,Middle Income Tercile,136200
Mount Holyoke College,Middle Income Tercile,51100
Smith College,Middle Income Tercile,50000
Wellesley College,Middle Income Tercile,70500
Wentworth Institute of Technology,Middle Income Tercile,66300
Williams College,Middle Income Tercile,78000
Worcester Polytechnic Institute,Middle Income Tercile,85200
Eastern Michigan University,Middle Income Tercile,44000
Michigan State University,Middle Income Tercile,58500
Wayne State University,Middle Income Tercile,48600
Western Michigan University,Middle Income Tercile,49100
Carleton College,Middle Income Tercile,NA
Gustavus Adolphus College,Middle Income Tercile,57100
Saint Olaf College,Middle Income Tercile,51000
Mississippi State University,Middle Income Tercile,46900
University of Mississippi,Middle Income Tercile,56500
Montana State University-Billings,Middle Income Tercile,40700
University of Nevada-Reno,Middle Income Tercile,54600
University of Nevada-Las Vegas,Middle Income Tercile,49600
Dartmouth College,Middle Income Tercile,109600
Princeton University,Middle Income Tercile,110700
Stevens Institute of Technology,Middle Income Tercile,92700
New Mexico Institute of Mining and Technology,Middle Income Tercile,57800
Colgate University,Middle Income Tercile,71100
Cornell University,Middle Income Tercile,95800
Hamilton College,Middle Income Tercile,62500
Rensselaer Polytechnic Institute,Middle Income Tercile,88800
Rochester Institute of Technology,Middle Income Tercile,66600
Skidmore College,Middle Income Tercile,58100
Siena College,Middle Income Tercile,63300
Binghamton University,Middle Income Tercile,65300
Stony Brook University,Middle Income Tercile,62700
Union College,Middle Income Tercile,75600
Vassar College,Middle Income Tercile,58800
Appalachian State University,Middle Income Tercile,42000
Davidson College,Middle Income Tercile,NA
East Carolina University,Middle Income Tercile,45300
University of North Carolina at Chapel Hill,Middle Income Tercile,65500
University of North Carolina at Charlotte,Middle Income Tercile,50100
Western Carolina University,Middle Income Tercile,41300
University of North Dakota,Middle Income Tercile,55400
Cleveland State University,Middle Income Tercile,47800
Denison University,Middle Income Tercile,53100
Oberlin College,Middle Income Tercile,48100
University of Toledo,Middle Income Tercile,52000
Wittenberg University,Middle Income Tercile,45200
Lewis and Clark College,Middle Income Tercile,51300
Oregon State University,Middle Income Tercile,56200
Portland State University,Middle Income Tercile,54100
