"","School.Name","School.Type","Region","Is.Party","STABBR","CONTROL","Tier","COSTT4_A","MN_EARN_WNE_P6","MD_EARN_WNE_P6","PCT25_EARN_WNE_P6","PCT75_EARN_WNE_P6","SD_EARN_WNE_P6","MD_EARN_WNE_P8","MN_EARN_WNE_P10","MD_EARN_WNE_P10","PCT25_EARN_WNE_P10","PCT75_EARN_WNE_P10","SD_EARN_WNE_P10","BE_MN_P6","BE_MD_P6","BE_MN_P10","BE_MD_P10","ROI_MN_P6","ROI_MD_P6","ROI_MN_P10","ROI_MD_P10","gender","gendered_Income_P10","gendered_Income_P6","family_income_level","born_Income_P10","born_Income_P6"
"90","Siena College","Liberal Arts","Northeastern",FALSE,"NY","Private nonprofit","Selective private",47265,46000,46200,30200,58600,24100,50600,62300,57100,39400,77200,41500,4.11,4.09220779220779,3.0346709470305,3.31103327495622,-2.67639902676399,-2.25325293557601,31.8100074050566,20.808209034169,"Female",57200,44200,"Low",51600,40200
"91","Binghamton University","State","Northeastern",FALSE,"NY","Public","Highly selective public",22688,47700,45300,26900,64300,28800,53200,68100,61600,38900,88200,47800,1.90255765199161,2.00335540838852,1.33262848751836,1.47324675324675,110.243300423131,99.6650211565585,200.158674188999,171.509167842031,"Female",62400,44800,"Low",65200,43100
"92","Stony Brook University","State","Northeastern",FALSE,"NY","Public","Highly selective public",21358,44000,39300,22800,59500,31500,48800,62600,57600,36100,81100,42500,1.94163636363636,2.17384223918575,1.36472843450479,1.48319444444444,106.011798857571,84.0059930705122,193.098604738271,169.688173049911,"Female",58100,41900,"Low",61300,43300
"93","Union College","Liberal Arts","Northeastern",FALSE,"NY","Private nonprofit","Highly selective private",60042,51400,49900,31800,67900,28600,56600,80200,65400,46800,94300,79700,4.67252918287938,4.81298597194389,2.99461346633416,3.67229357798165,-14.3932580526964,-16.8915092768395,33.5731654508511,8.92375337263915,"Female",71700,45400,"Low",91600,49200
"94","Vassar College","Liberal Arts","Northeastern",FALSE,"NY","Private nonprofit","Other elite schools (public and private)",61320,39400,36100,22700,49900,27400,44600,61500,54600,34500,74600,45500,6.2253807106599,6.79445983379501,3.98829268292683,4.49230769230769,-35.7469015003262,-41.1285061969993,0.293542074363992,-10.958904109589,"Female",58000,38200,"Low",55100,37600
"95","Appalachian State University","State","Southern",FALSE,"NC","Public","Selective public",19017,34300,33000,21400,42300,26200,35200,43600,38800,27600,54300,27300,2.21772594752187,2.30509090909091,1.74467889908257,1.96051546391753,80.3649366356418,73.5289477835621,129.268549192827,104.027974969764,"Female",39000,32000,"Low",40300,31900
"97","East Carolina University","State","Southern",FALSE,"NC","Public","Selective public",20710,37300,34900,23000,46900,27600,37800,45800,40500,27600,57400,34100,2.22091152815013,2.37363896848138,1.80873362445415,2.04543209876543,80.1062288749396,68.5176243360695,121.149203283438,95.5577015934331,"Female",42000,34700,"Low",42800,34200
"98","University of North Carolina at Chapel Hill","State","Southern",FALSE,"NC","Public","Other elite schools (public and private)",23978,49900,41000,27700,59900,55600,49000,68800,55600,37300,84000,59400,1.92208416833667,2.33931707317073,1.39406976744186,1.72503597122302,108.107431812495,70.9900742347152,186.929685545083,131.879222620736,"Female",64500,45100,"Low",70200,50900
"99","University of North Carolina at Charlotte","State","Southern",FALSE,"NC","Public","Selective public",18044,38600,35900,23200,50500,23100,40500,50300,44000,29800,63900,35400,1.86984455958549,2.01047353760446,1.43491053677932,1.64036363636364,113.921525160718,98.9581024163157,178.763023719796,143.848370649523,"Female",44000,34600,"Low",48800,36900
"100","Western Carolina University","State","Southern",FALSE,"NC","Public","Selective public",18549,33400,31900,20300,41600,20300,34700,41300,37700,25500,51600,33200,2.2214371257485,2.3258934169279,1.79651331719128,1.96806366047745,80.0636152892339,71.9769259798372,122.653512318723,103.245457976171,"Female",36100,31200,"Low",40900,31500
